timestamp,mint,ticker,peakPct,peakAtSec,exitPct,holdSec,exitReason
2026-03-15T23:06:26.773Z,FvvmsySnAX6wgy3q,AKINATOR,45.0,35.3,-45.2,76,TRAIL -61% (peak 45.0%) [stale]
2026-03-15T23:06:28.778Z,97oqiEfk1mpqDcck,Diddy,-2.0,0.0,-5.9,7,STALE_FEED
2026-03-15T23:06:30.780Z,EkcXgscoZRctEeWZ,PUSH,-1.2,0.2,-16.2,10,SL -12.7% [stale]
2026-03-15T23:06:36.802Z,CzyhzFBWnwas2oyW,pray,-2.0,1.8,-13.7,10,SL -10.1% [stale]
2026-03-15T23:06:37.469Z,GtswqeVZbSBLU6ZZ,Feels,2.3,0.4,-6.6,4,T5BAIL -2.7% @4s (peak 2.3%)
2026-03-15T23:06:42.822Z,9rjWDNZUtb5TzQgJ,Yellowchip,21.0,0.7,-22.3,36,TRAIL -33% (peak 21.0%) [stale]
2026-03-15T23:06:42.823Z,6L1rS7kz2WdSs7gG,Dart,-2.0,0.0,-5.9,7,STALE_FEED
2026-03-15T23:06:44.828Z,neTeFhogu4zgwVTW,Apecoin,200.2,32.7,-6.1,114,STALE_FLAT
2026-03-15T23:06:52.849Z,FV9w5Jip8c5GFTy9,Banana,8.6,2.1,-21.0,23,BE -17.6% (peak 8.6%) [stale]
2026-03-15T23:06:52.854Z,9FRgH1wbNnFnfcCy,Ray,-2.0,0.0,-5.9,8,STALE_FEED
2026-03-15T23:06:52.859Z,EzKpBMHzM61A8EPd,Ray,-2.0,0.0,-5.9,8,STALE_FEED
2026-03-15T23:06:58.865Z,AQfxbEtKrsgPNCRy,MOGGED,34.7,1.4,8.3,13,TRAIL -16% (peak 34.7%) [stale]
2026-03-15T23:07:02.030Z,797Azs8bAqUw6mjX,BOMB,-2.0,0.5,-12.6,4,T5BAIL -8.9% @4s (peak -2.0%)
2026-03-15T23:07:16.291Z,AZo4h9t1i4kB5RFu,Feels,-2.0,0.1,-42.1,4,T5BAIL -39.6% @4s (peak -2.0%)
2026-03-15T23:07:24.938Z,81qhas3Z1KngLU2c,YELLOWCHIP,103.7,75.9,-40.0,97,TRAIL -69% (peak 103.7%) [stale]
2026-03-15T23:07:24.943Z,AiNXSKMrGCLCFZzb,GenA,-2.0,0.0,-5.9,8,STALE_FEED
2026-03-15T23:07:34.963Z,HoPe5Kf25ncNxGtX,HOPE,-2.0,2.5,-19.8,10,SL -16.4% [stale]
2026-03-15T23:07:36.967Z,BEM5wk9Gj7VWFSeQ,Gen A,137.8,2.9,-41.4,40,TRAIL -74% (peak 137.8%) [stale]
2026-03-15T23:07:38.972Z,CHSkSnx5W8vtpUke,Ray,-2.0,0.0,-5.9,6,STALE_FEED
2026-03-15T23:07:48.995Z,46SKFgPYqqLjEnmn,Buck,2.1,0.2,-14.2,24,SL -10.6% [stale]
